global_unique_identifier,species1_common,species2_common_orig,species2_predict,interaction,interaction_predict,species2_common_std,species2_predicted_common_std,species_comments,interaction_correct
URN:CornellLabOfOrnithology:EBIRD:OBS1902918209,Lesser Scaup,bald eagle,bald eagle,predation,predation,Bald Eagle,Bald Eagle,"Watched a bald eagle take a female out of the lake and eat it in a tree. The eagle snatched it out of the water and carried it to a branch by its head. The duck fought for a good 8 minutes on the branch (+another few minutes when the eagle was diving underwater to get a grip on it), flapping its wings and kicking the eagle on the branch with feathers being plucked out of it before it finally died. Horrible way to die.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1649682843,Brown-headed Cowbird,red winged blackbirds,red winged blackbirds,facilitation-mixed flocking,facilitation-mixed flocking,Red-winged Blackbird,Red-winged Blackbird,"Chunky blackbird with brown head, black body. Two mixed in flock of Red Winged Blackbirds. Eating on ground.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1639247770,Pileated Woodpecker,"downy, red bellied woodpecker","downy, red bellied woodpecker",facilitation-mixed flocking,co-occur,"Red-bellied Woodpecker, Downy Woodpecker","Red-bellied Woodpecker, Downy Woodpecker","On tree near feeder with 1Downy, 1 Red Bellied Woodpecker",0
URN:CornellLabOfOrnithology:EBIRD:OBS1642998170,Lesser Scaup,goldeneyes,goldeneyes,facilitation-mixed flocking,facilitation-mixed flocking,Common Goldeneye,Common Goldeneye,"Mix of males and females with goldeneyes. Black in front and back, whitish in middle. Some males visible with purplish sheen on head.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1868965955,Ring-billed Gull,no species,no species,no interaction,no interaction,no species,no species,Together. Roosting on point of land near shoreline.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1925309507,Snow Bunting,"horned larks, lapland longspurs","horned larks, lapland longspurs",facilitation-mixed flocking,facilitation-mixed flocking,"Lapland Longspur, Horned Lark","Lapland Longspur, Horned Lark","Mixed flock of Snow Buntings, Horned Larks, and Lapland Longspurs flying north and south over harvested fields on Vreeland west of Gotfredson, before the farm. Landed on road for short time before flying off again.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1873580615,Snow Goose,"ross's goose, cago, mallards, sandhill cranes","cago, mallards, sandhill cranes, ross's goose",facilitation-feeding,facilitation-feeding,"Ross's Goose, Mallard, Canada Goose, Sandhill Crane","Ross's Goose, Mallard, Canada Goose, Sandhill Crane","Immature. Darker and larger than nearby immature Ross's goose. Dark bill. Foraging corn stubble with CAGO, mallards, sandhill cranes and ross's goose. See pics.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1626312985,Wood Duck,mallards,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,Drake Woodie mixed in with the Mallards. Has been here for several days,1
URN:CornellLabOfOrnithology:EBIRD:OBS1644664093,Trumpeter Swan,mute swans,mute swans,co-occur,co-occur,Mute Swan,Mute Swan,"An all white feathered swan large or larger than the Mute Swans near it, with a thinner neck. Large all black bill and black legs and feet. Pics to be added.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1612835247,European Starling,coha,coha,amensalism,amensalism,Cooper's Hawk,Cooper's Hawk,Estimate by 10s. Flock flushed by COHA,1
URN:CornellLabOfOrnithology:EBIRD:OBS1883422155,Eastern Towhee,"cardinal, tree sparrows","cardinal, tree sparrows",co-occur,co-occur,"Northern Cardinal, American Tree Sparrow","Northern Cardinal, American Tree Sparrow","Popped up on top of a winterberry next to a pond with Cardinal and tree sparrows. Distinct male in full color. Black, white, and orange sides",1
URN:CornellLabOfOrnithology:EBIRD:OBS1636155529,Gadwall,canadian geese,canadian geese,facilitation-mixed flocking,co-occur,Canada Goose,Canada Goose,One pair was swimming at the west end of the lake by themselves. There were 3 other pairs swimming along the south shore of the lake among several Canadian Geese.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1616414267,Horned Lark,"atsp, juncos","juncos, atsps",facilitation-mixed flocking,facilitation-mixed flocking,"American Tree Sparrow, Dark-eyed Junco","American Tree Sparrow, Dark-eyed Junco",Est in Mixed flock with Juncos and ATSPs in field beyond woods,1
URN:CornellLabOfOrnithology:EBIRD:OBS1628509477,Sandhill Crane,no species,no species,no interaction,no interaction,no species,no species,All together in a marsh. See pics.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1865399915,Rusty Blackbird,"starling, redwing blackbirds","starling, redwing blackbirds",facilitation-mixed flocking,facilitation-mixed flocking,"Red-winged Blackbird, European Starling","Red-winged Blackbird, European Starling","Mixed flock of about 40 birds- Starling, Redwing Blackbirds",1
URN:CornellLabOfOrnithology:EBIRD:OBS1935354416,Mallard,geese,geese,facilitation-mixed flocking,facilitation-mixed flocking,goose sp.,goose sp.,flying in groups with geese,1
URN:CornellLabOfOrnithology:EBIRD:OBS1608786586,Bald Eagle,no species,no species,no interaction,no interaction,no species,no species,Sitting side by side.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1921642264,American Wigeon,gadw,gadw,co-occur,co-occur,Gadwall,Gadwall,"2 m, 2 f separate but close to GADW.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1910319178,Short-eared Owl,no species,noha,no interaction,co-occur,no species,Northern Harrier,"continued --- <a href=""https://www.flickr.com/photos/28582037@N05/53430972892/in/datetaken-public/"" title=""NOHA & SEOW, Jackson co.""><img src=""https://live.staticflickr.com/65535/53430972892_a17500cbe4_o.jpg"" alt=""NOHA & SEOW, Jackson co."" /></a>",0
URN:CornellLabOfOrnithology:EBIRD:OBS1640463622,Sharp-shinned Hawk,bird,small bird,predation,predation,no species,no species,"Short square tail, small head, pursuing small bird at about 25 feet off the ground. Fast glide separated by frequent quick wingbeats.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1911096611,Hooded Merganser,"mallards, canada geese","mallards, canada geese",facilitation-mixed flocking,facilitation-mixed flocking,"Mallard, Canada Goose","Mallard, Canada Goose",4 females and 3 males mixed in with mallards and Canada Geese in the pond on the south end of Swanson Road,1
URN:CornellLabOfOrnithology:EBIRD:OBS1903936430,Merlin,crows,crows,mobbing,mobbing,American Crow,American Crow,"Amazingly, this Merlin is still hanging around. It’s been in the area – my neighborhood – for more than a month now. It was harassed by two crows this morning.",1
URN:CornellLabOfOrnithology:EBIRD:OBS2237097926,Canvasback,redhead,redhead,facilitation-mixed flocking,facilitation-mixed flocking,Redhead,Redhead,"It was unusual, but not unheard of to see a Canvasback in the large flocks of Redhead.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1867276893,Snow Goose,trumpeter swans,trumpeter swans,facilitation-mixed flocking,facilitation-mixed flocking,Trumpeter Swan,Trumpeter Swan,Dark morph adult. With trumpeter swans.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1925131464,Red-tailed Hawk,no species,no species,no interaction,no interaction,no species,no species,sitting together in tree,1
URN:CornellLabOfOrnithology:EBIRD:OBS1597266763,Pine Siskin,amgo,amgo,facilitation-feeding,facilitation-feeding,American Goldfinch,American Goldfinch,Flock with AMGO foraging in cedars on cones and calling frequently. Many cone scales on forest floor as indication that flocks were feeding throughout the area.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1896201986,Bald Eagle,crows,crows,co-occur,mobbing,American Crow,American Crow,"Immature soaring over the large farmer's field near Hickman, guarded by many crows",0
URN:CornellLabOfOrnithology:EBIRD:OBS1636183957,Red-winged Blackbird,"cogr, rubl, yhbb, bhco","cogr, rubl, yhbb, bhco",facilitation-mixed flocking,facilitation-mixed flocking,"Common Grackle, Rusty Blackbird, Yellow-headed Blackbird, Brown-headed Cowbird","Common Grackle, Rusty Blackbird, Yellow-headed Blackbird, Brown-headed Cowbird","Massive flock of blackbirds, volume growing every visit. Picture of one tree full of blackbirds, at least 8 trees full of birds, with hundreds more streaming in and out. Over 100 COGR mixed in, a couple of RUBL, one YHBB, and small amount of BHCO.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1641784842,Horned Lark,harrier,harrier,predation,predation,Northern Harrier,Northern Harrier,Harried by the harrier.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1913579037,Brown-headed Cowbird,grackles,grackles,facilitation-mixed flocking,facilitation-mixed flocking,Common Grackle,Common Grackle,A handful mixed in with the grackles,1
URN:CornellLabOfOrnithology:EBIRD:OBS1607200365,Hooded Merganser,mallards,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,Female present with mallards,1
URN:CornellLabOfOrnithology:EBIRD:OBS1597329781,American Wigeon,scaups,scaups,facilitation-mixed flocking,facilitation-mixed flocking,Greater Scaup,Greater Scaup,Swimming along with the Scaups.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1933383645,Bohemian Waxwing,cedw,cedw,co-occur,co-occur,Cedar Waxwing,Cedar Waxwing,Counted by ten’s. Will get more accurate count later from photos. Larger than adjacent CEDW.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1897518294,White-winged Scoter,susc,susc,co-occur,co-occur,Surf Scoter,Surf Scoter,Continuing. Large Dark Ducks with white wing patches visible while swimming and flying. Nice comparison with nearby SUSC.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1594190049,Trumpeter Swan,"geese, mallards","geese, mallards",facilitation-mixed flocking,facilitation-mixed flocking,"Mallard, Canada Goose","Mallard, Canada Goose","Black bill, trumpeting. Lots, with geese and mallards.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1914167176,Cackling Goose,canadian geese,canadian geese,co-occur,co-occur,Canada Goose,Canada Goose,Smaller than the other Canadian Geese they were swimming near. Shorter snub tip beak.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1866979349,Chipping Sparrow,juncos,juncos,facilitation-feeding,facilitation-feeding,Dark-eyed Junco,Dark-eyed Junco,"Rusty cap, black eyeline, foraging with juncos.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1865425749,Snow Goose,cago,cago,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"2 white, 1 blue phase; with CAGO.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1924083825,Common Grackle,"juncos, tree sparrows","juncos, tree sparrows",facilitation-feeding,facilitation-feeding,"Dark-eyed Junco, American Tree Sparrow","Dark-eyed Junco, American Tree Sparrow","All black bird, yellow eye, smaller than crow. Was foraging in mud with juncos and tree sparrows",1
URN:CornellLabOfOrnithology:EBIRD:OBS1927614310,House Finch,"eust, hosp","eust, hosp",facilitation-mixed flocking,facilitation-mixed flocking,"European Starling, House Sparrow","European Starling, House Sparrow","Fairly regular occurrence are these HOFI flocking up alongside EUST with a small handful of HOSP in the CEC Podium parking courtyard, with the bulk flocking up in the east courtyard with the building.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1890423335,Cedar Waxwing,"robins, starlings","robins, starlings",facilitation-mixed flocking,facilitation-mixed flocking,"European Starling, American Robin","European Starling, American Robin","Had to push our way through bushes and branches to walk upstream along Mallets Creek. Several flocks of robins, starlings, and cedar waxingwings were flying across Mallets Creek back and forth perching and making loud calls. Almost reminiscent of Hitchcock's The Birds.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1867899496,Snow Goose,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,4 dark morph 2 white. Landed with Canada geese. I took a photo with my scope.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1914452550,Iceland Gull,herrings,herrings,facilitation-mixed flocking,co-occur,American Herring Gull,American Herring Gull,"Slightly smaller Laris gull among Herrings. Light brownish-gray body and head overall, thin and long bill that is light pink with dark tip. More pink than gab is typical so possibly early second cycle bird. Pale brown primaries with crisp white edging to them. Dove-like head shape with more calm looking demeanor compared to less rounded head shape of Herrings.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1604725052,Ross's Goose,canadas,canadas,facilitation-feeding,facilitation-feeding,Canada Goose,Canada Goose,Single Ross mixed with Canadas feeding in turned corn field. Mallard size. Short orangish pink bill. Black wing tips. No “grin” like a Snow. Tom Healey also observed Ross at this location.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1887145422,Cackling Goose,cangs,cangs,facilitation-mixed flocking,co-occur,Canada Goose,Canada Goose,"*Rare, possibly continuing. Spotted by Todd Palgut sitting on the ice, all together in a group. Very small white-cheeked geese with tiny bills and short necks, much smaller than surrounding CANGs. Photos",0
URN:CornellLabOfOrnithology:EBIRD:OBS1595575261,Cackling Goose,canadas,canadas,co-occur,co-occur,Canada Goose,Canada Goose,"Group of 6 keeping separate from Canadas. Smaller birds, shorter bills.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1600447608,European Starling,bohemian waxwings,bohemian waxwings,facilitation-feeding,facilitation-feeding,Bohemian Waxwing,Bohemian Waxwing,Estimate. With bohemian waxwings feeding in crab apple tree and roosting in poplar trees between dives into crab.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1615011111,Wood Duck,mallards,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,Pic. 5 of them with the mallards across from the beavers den. Nesting in the reeds arround the small island with three trees surrounded by water.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1886389633,Iceland Gull,rbgu,rbgu,co-occur,co-occur,Ring-billed Gull,Ring-billed Gull,Medium sized gull. Completely pale wingtips. Bill a dull yellowish grey. Noticeably different than nearby RBGU.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1912897027,Snow Goose,canada geese,canada geese,facilitation-mixed flocking,co-occur,Canada Goose,Canada Goose,Continuing. It does not blend in. Stark white in a sea of Canada geese.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1919276090,Red-headed Woodpecker,blue jays,blue jays,facilitation-feeding,facilitation-feeding,Blue Jay,Blue Jay,"Heard rattle calls at Long Skinny Park/Hamlin lake. Foraging high in tree tops with a group kf blue jays. Adult. Solid red head, prominent white patch in wings.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1621674491,American Robin,juncos,juncos,facilitation-feeding,facilitation-feeding,Dark-eyed Junco,Dark-eyed Junco,Large group feeding on berries. Juncos mixed in.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1631101475,Northern Flicker,no species,no species,no interaction,no interaction,no species,no species,Observed together in woodland along river front; characteristic front spots and black crescent observed.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1623532976,Cedar Waxwing,"robins, starlings",robins,facilitation-mixed flocking,facilitation-mixed flocking,"American Robin, European Starling",American Robin,Hangs out with the robins,1
URN:CornellLabOfOrnithology:EBIRD:OBS1620639081,Cackling Goose,ross,ross's,facilitation-mixed flocking,facilitation-mixed flocking,Ross's Goose,Ross's Goose,"Possibly more. Associating with the Ross’s and close in size to that bird. Short neck, rounded heads and stubby bill.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1597943422,Tundra Swan,mute swans,mute swans,co-occur,co-occur,Mute Swan,Mute Swan,They were very vocal on the water and stayed separated from the mute swans.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1637171929,American Goldfinch,evening grosbeaks,evening grosbeaks,facilitation-mixed flocking,facilitation-mixed flocking,Evening Grosbeak,Evening Grosbeak,25-35 visit daily with the evening grosbeaks.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1641524543,Horned Lark,"snow bunting, lapland longspur","snow bunting, lapland longspur",facilitation-mixed flocking,facilitation-mixed flocking,"Snow Bunting, Lapland Longspur","Snow Bunting, Lapland Longspur",Huge mixed flock with snow bunting and Lapland longspur,1
URN:CornellLabOfOrnithology:EBIRD:OBS1889394333,Field Sparrow,atsps,atsps,facilitation-mixed flocking,facilitation-mixed flocking,American Tree Sparrow,American Tree Sparrow,"*Scarce in winter. Small sparrow with long tail, small pink bill, brown upperparts, unmarked gray below, and a prominent white eye-ring in with a flock of ATSPs",1
URN:CornellLabOfOrnithology:EBIRD:OBS1937132931,Hermit Thrush,robin,robin,co-occur,co-occur,American Robin,American Robin,"Pale breast with dark spots, brown back and reddish tail, complete gray eye ring. On ground poking through leaves where snow has melted. Heard soft chuck calls before spotting. Smaller than Robin (which was also in the area during the checklist).",1
URN:CornellLabOfOrnithology:EBIRD:OBS1879118460,Brant,"canadas, mallards","canadas, mallards",facilitation-mixed flocking,co-occur,"Mallard, Canada Goose","Mallard, Canada Goose",Continuing. Seen to the north from end of the pier with Canadas and Mallards. Finally! :) lifer! Photos to come.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1636762596,Lesser Black-backed Gull,"ring-billes, herring","ring-bills, herring",facilitation-mixed flocking,facilitation-mixed flocking,"Ring-billed Gull, American Herring Gull","Ring-billed Gull, American Herring Gull","Mixed in with larger gull group. Darker than surrounding Ring-bills and Herring, but not quite as large looking as the Herring Gulls. Did not seem to have the darkness of a great black-backed.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1934892463,Mallard,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,Flyovers in groups with Canada Geese,1
URN:CornellLabOfOrnithology:EBIRD:OBS1931944381,Lapland Longspur,tree sparrows,tree sparrows,facilitation-mixed flocking,facilitation-mixed flocking,American Tree Sparrow,American Tree Sparrow,"Cont. Pic. Mixed with tree sparrows, in and under birch trees, W side of fish cleaning parking lot.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1604679720,Trumpeter Swan,mutes,"mutes, tundras",facilitation-mixed flocking,co-occur,Mute Swan,Mute Swan,"all thick black bill, straighter neck than mutes, was with a few mutes, body different, bigger looking than tundras. was seen in area earlier in the year.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1598673101,Iceland Gull,"rbgu, hegu","rbgu, hegu",facilitation-mixed flocking,co-occur,"American Herring Gull, Ring-billed Gull","American Herring Gull, Ring-billed Gull","Slightly larger than RBGU, slightly smaller than HEGU. Small round dove like head. Gray back with some dark in primaries. South end of beach on the sandbar with other gulls.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1629538648,Pied-billed Grebe,coots,coots,facilitation-mixed flocking,facilitation-mixed flocking,American Coot,American Coot,Hanging out with the coots,1
